,GENEL KÜLTÜR DERSLERİ BÖLÜMÜ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,TEKNİK OLMAYAN SEÇMELİ DERSLER ,,,,,,,,,,
1,NON-TECHNICAL ELECTIVE COURSES (NTE),,,,,,,,,,
2,2025 - 2026 GÜZ DÖNEMİ ,,,,,,,,,,
3,No,Dersin Kodu,Şb,Dersin Adı,(T+U)Kredi,AKTS,Öğretim Elemanı," Ders Gün 
ve Saati ",Kontenjan,Final Tarihi,Derslik
4,1,ART201,1,Desen Skeç                                                      Drawing-Sketch,(3+0)3,3,Öğr. Gör. Dr. N. Coşgu ATEŞ,Perşembe              09.45-12.30,15,2026-01-22 00:00:00,Mimarlık D Blok Atölye
5,2,ART201,2,Desen Skeç                                                      Drawing-Sketch,(3+0)3,3,Öğr. Gör. Dr. N. Coşgu ATEŞ,"Perşembe
13.30-16.15",15,2026-01-22 00:00:00,Mimarlık D Blok Atölye
6,3,ART210,1,Batı Müziği ve Estetik                                       Western Music and  Aesthetics,(3+0)3,5,Öğr. Gör. Dr. Mahmut SÖZER,Perşembe              09.45-12.30,40,,GKDB Derslik-1
7,4,ART231,1,Türk Halk Danslarına Giriş                             Introduction to Turkish Folk Dances,(3+0)3,5,Öğr. Gör. Nüket DALCI,Pazartesi            09:45-12:30,40,2026-01-12 00:00:00,GKDB Derslik-1
8,5,ART231,2,Türk Halk Danslarına Giriş                             Introduction to Turkish Folk Dances,(3+0)3,5,Öğr. Gör. Nüket DALCI,Pazartesi           13:30-16:15,40,2026-01-12 00:00:00,GKDB Derslik-1
9,6,ART232,1,Uygulamalı Türk Halk Dansları                      Performing Turkish Folk Dances,(3+0)3,3,Öğr. Gör. Nüket DALCI,Çarşamba         09:45-12:30,40, 14.01.2026,Spor Salonu 
10,7,ART240,1,"Resim Sanatı, Kavramlar ve Kuramlar                   Painting Art Consepts and Theories",(3+0)3,5,Öğr. Gör. Dr. N. Coşgu ATEŞ,Cuma                09:45-12:30,40,2026-01-23 00:00:00,GKDB Derslik-1
11,8,ART240,2,"Resim Sanatı, Kavramlar ve Kuramlar                   Painting Art Consepts and Theories",(3+0)3,5,Öğr. Gör. Dr. N. Coşgu ATEŞ,Cuma                  13.30-16.15,40,2026-01-23 00:00:00,GKDB Derslik-1
12,9,HUM203,1,Sosyal Antropolojiye Giriş                          Introduction to Social Anthropology,(3+0)3,5,Doç. Dr. Ozan UŞTUK,Perşembe                09.45-12.30,45,15.01.2026,GKDB Derslik-3
13,10,HUM203,2,Sosyal Antropolojiye Giriş                          Introduction to Social Anthropology,(3+0)3,5,Doç. Dr. Ozan UŞTUK,Perşembe                13:30-16:15,50,15.01.2026         ,GKDB Derslik-1
14,11,HUM204,1,Türkçenin Etkili ve Doğru Kullanımı                    Effective and Correct Use of the Turkish Language,(3+0)3,5,Öğr. Gör. Dr. Yasemin ÖZCAN GÖNÜLAL,Çarşamba                 09.45-12.30,45,14.01.2026,GKDB Derslik-1
15,12,HUM210,1,Türkçe Yazılı Anlatımın Geliştirilmesi             Development of Written Expressions in Turkish,(3+0)3,5,Öğr. Gör. Dr. Doğan EVECEN,Çarşamba       13.30-16.15,30,2026-01-21 00:00:00,GKDB Derslik-3
16,13,HUM213,1,Modern Dünya Tarihi                                          Modern World History,(3+0)3,5,Öğr. Gör. Dr. Mustafa İLTER,Pazartesi           09:45-12:30,35,2026-01-12 00:00:00,GKDB Derslik-3
17,14,HUM232,1,Görsel İletişim                                                      Visual Communication,(3+0)3,5,Doç. Dr. Dikmen YAKALI,Salı                   09.45-12:30,45,13-01-2026,GKDB Derslik-3
18,15,HUM251,1,Osmanlı Türkçesi I                                           Ottoman Turkish I,(3+0)3,5,Öğr. Gör. Dr. Doğan EVECEN,Cuma               09.45-12.30,30,2026-01-16 00:00:00,GKDB Derslik-2
19,16,HUM261,1,Küresel Sürdürülebilirlik                                      Global Sustainability,(3+0)3,5,Doç. Dr. Hatice Eser ÖKTEN KIRAN,Salı                  09.45-12:30,40,,GKDB Derslik-3
20,17,HUM262,1,"Tarih, Teknoloji ve Toplum                               History, Technology and Society",(3+0)3,5,Öğr. Gör. Dr. Mustafa İLTER,Cuma                09:45-12:30,35,16. 01.2026,GKDB Derslik-3
21,18,MAN216,1,Pazarlamaya Giriş                                        Introduction to Marketing,(3+0)3,5,Öğr. Gör. Ebru ASLAN ÇALLIOĞLU,Salı                   09.45-12:30,50,,GKDB Derslik-1
22,19,MAN217,1,Yönetimin Temelleri ve Liderlik                      Fundamentals of Management and Leadership,(3+0)3,5,Öğr. Gör. Ebru ASLAN ÇALLIOĞLU,Perşembe          09.45-12:30,50,,GKDB Derslik-2
23,20,MAN231,1,"Marka Patent ve Fikri Haklar                             Patent, Trademark Intellectual Industrial Property Law",(3+0)3,5,Av. Füsun SİNGİ,Perşembe          13.30-16:15,40,15.01.2026        ,GKDB Derslik-3
24,21,MAN235,1,Yaratıcılığın Esasları                                      Fundamentals of Creativity,(3+0)3,5,Öğr. Gör. Dr. Aytuna TOSUNOĞLU ÇALIK,Çarşamba         13.30-16.15,40,2026-01-14 00:00:00,GKDB Derslik-1
25,22,SPRT201,1,Tenis I                                                                 Tennis I,(3+0) 3,3,Öğr. Gör. Hakim ÖZGÜR,Perşembe          13.30-16:15,10,2026-01-22 00:00:00,Spor Salonu 
26,23,SPRT203,1,Badminton                                                              Badmington,(3+0) 3,3,Öğr. Gör. Hakim ÖZGÜR,Pazartesi                 13.30-16.15,12,2026-01-19 00:00:00,Spor Salonu 
27,24,SPRT204,1,Basketbol                                                       Basketball,(3+0) 3,3,Öğr. Gör. Hakim ÖZGÜR,Salı                    13:30-16:15,20,2026-01-20 00:00:00,Spor Salonu 
28,25,SPRT204,2,Basketbol                                                       Basketball,(3+0) 3,3,Öğr. Gör. Hakim ÖZGÜR,Çarşamba         13.30-16.15,20,2026-01-21 00:00:00,Spor Salonu 
29,26,SPRT211,1,Su Üstü Sörf Sporları                                              Surf Sports on the Water,(3+0)3,5,Öğr. Gör. Salih RENDE,Cuma                13.30-16.15,40,16.01.2026        ,GKDB Derslik-2
